word,stress_pattern,primary_syllable,common_mistakes,source
significant,"primary on syllable 2",2,"stress misplaced on syllable 1 or 3","standard dictionary pronunciation; cross-check pending"
approach,"primary on syllable 2",2,"none notable beyond diphthong shortening","standard dictionary pronunciation; cross-check pending"
environment,"primary on syllable 2",2,"none notable beyond segmental errors","standard dictionary pronunciation; cross-check pending"
individual,"secondary on syllable 1, primary on syllable 3",3,"flattened to equal stress","standard dictionary pronunciation; cross-check pending"
establish,"primary on syllable 2",2,"none notable beyond cluster simplification","standard dictionary pronunciation; cross-check pending"
particular,"primary on syllable 2",2,"none notable beyond rhotic vowel weakening","standard dictionary pronunciation; cross-check pending"
specific,"primary on syllable 2",2,"none notable beyond initial cluster epenthesis","standard dictionary pronunciation; cross-check pending"
available,"primary on syllable 2",2,"none notable beyond final /l/ weakening","standard dictionary pronunciation; cross-check pending"
consistent,"primary on syllable 2",2,"none notable beyond cluster simplification","standard dictionary pronunciation; cross-check pending"
previous,"primary on syllable 1",1,"none notable beyond segmental errors","standard dictionary pronunciation; cross-check pending"
research,"noun: primary on syllable 1; verb: primary on syllable 2","1 (noun) / 2 (verb)","using one stress pattern for both noun and verb forms","standard dictionary pronunciation; cross-check pending"
analysis,"primary on syllable 2",2,"stress misplaced on syllable 1 or 3","standard dictionary pronunciation; cross-check pending"
therefore,"primary on syllable 1",1,"none notable beyond /ð/ substitution","standard dictionary pronunciation; cross-check pending"
however,"primary on syllable 2",2,"none notable beyond diphthong shortening","standard dictionary pronunciation; cross-check pending"
although,"primary on syllable 2",2,"none notable beyond /ð/ substitution and diphthong shortening","standard dictionary pronunciation; cross-check pending"
develop,"primary on syllable 2",2,"none notable beyond v/w and final consonant errors","standard dictionary pronunciation; cross-check pending"
require,"primary on syllable 2",2,"none notable beyond diphthong/rhotic weakening","standard dictionary pronunciation; cross-check pending"
necessary,"primary on syllable 1",1,"medial unstressed vowel over-articulated","standard dictionary pronunciation; cross-check pending"
various,"primary on syllable 1",1,"none notable beyond v/w substitution","standard dictionary pronunciation; cross-check pending"
characteristic,"secondary on syllable 1, primary on syllable 4",4,"flattened to equal stress given word length","standard dictionary pronunciation; cross-check pending"
demonstrate,"primary on syllable 1",1,"none notable beyond medial cluster simplification","standard dictionary pronunciation; cross-check pending"
considerable,"primary on syllable 2",2,"none notable beyond final /l/ weakening","standard dictionary pronunciation; cross-check pending"
substantial,"primary on syllable 2",2,"none notable beyond cluster simplification and final /l/ weakening","standard dictionary pronunciation; cross-check pending"
phenomenon,"primary on syllable 2",2,"flattened to equal stress; confused with plural form's stress","standard dictionary pronunciation; cross-check pending"
hypothesis,"primary on syllable 2",2,"stress misplaced; compounded by /θ/ substitution","standard dictionary pronunciation; cross-check pending"
methodology,"secondary on syllable 1, primary on syllable 3",3,"flattened to equal stress given word length","standard dictionary pronunciation; cross-check pending"
comprehensive,"primary on syllable 3",3,"none notable beyond cluster and final /v/ errors","standard dictionary pronunciation; cross-check pending"
inevitable,"primary on syllable 2",2,"none notable beyond v/w substitution and final /l/ weakening","standard dictionary pronunciation; cross-check pending"
subsequent,"primary on syllable 1",1,"none notable beyond cluster simplification","standard dictionary pronunciation; cross-check pending"
approximately,"primary on syllable 2",2,"flattened to equal stress given word length","standard dictionary pronunciation; cross-check pending"
