word,pte_frequency_rating,question_types,basis,source
significant,High,"Essay, Summarize Written Text, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
approach,"Very High","Read Aloud, Essay, Summarize Written Text","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
environment,"Very High","Read Aloud, Essay, Describe Image","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
individual,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
establish,High,"Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
particular,"Very High","Read Aloud, Essay, Repeat Sentence","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
specific,"Very High","Read Aloud, Essay, Write Email","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
available,"Very High","Read Aloud, Summarize Written Text","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
consistent,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
previous,High,"Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
research,"Very High","Read Aloud, Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
analysis,High,"Read Aloud, Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
therefore,High,"Essay, Summarize Written Text","author judgment: common discourse marker","Practice — not from a verified PTE frequency list"
however,"Very High","Essay, Summarize Written Text, Retell Lecture","author judgment: common discourse marker","Practice — not from a verified PTE frequency list"
although,High,"Essay, Summarize Written Text","author judgment: common discourse marker","Practice — not from a verified PTE frequency list"
develop,"Very High","Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
require,"Very High","Read Aloud, Write Email, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
necessary,"Very High","Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
various,High,"Read Aloud, Essay, Describe Image","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
characteristic,"Medium-High","Retell Lecture, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
demonstrate,High,"Read Aloud, Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
considerable,"Medium-High","Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
substantial,"Medium-High","Essay, Summarize Written Text","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
phenomenon,Medium,"Retell Lecture, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
hypothesis,Medium,"Retell Lecture, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
methodology,Medium,"Retell Lecture, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
comprehensive,Medium,"Essay, Summarize Written Text","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
inevitable,Medium,"Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
subsequent,"Medium-High","Read Aloud, Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
approximately,"Very High","Describe Image, Essay, Summarize Written Text","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
determine,High,"Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
increase,"Very High","Describe Image, Essay, Summarize Written Text","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
decrease,"Very High","Describe Image, Essay, Summarize Written Text","author judgment: common in data-reporting contexts","Practice — not from a verified PTE frequency list"
context,High,"Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
concept,High,"Read Aloud, Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
structure,"Very High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
function,High,"Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
process,"Very High","Read Aloud, Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
factor,"Very High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
variable,High,"Retell Lecture, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
sufficient,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
efficient,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
influence,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
impact,"Very High","Describe Image, Essay, Read Aloud","author judgment: common in data-reporting and essay contexts","Practice — not from a verified PTE frequency list"
perspective,High,"Essay, Respond to a Situation","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
strategy,High,"Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
principle,High,"Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
theory,High,"Retell Lecture, Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
evidence,"Very High","Essay, Summarize Written Text, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
conclude,High,"Essay, Summarize Written Text","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
assume,Medium,"Essay, Respond to a Situation","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
achieve,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
maintain,High,"Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
obtain,"Medium-High","Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
contribute,High,"Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
distribute,"Medium-High","Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
investigate,Medium,"Retell Lecture, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
eliminate,Medium,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
emphasize,High,"Essay, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
illustrate,Medium,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
benefit,High,"Read Aloud, Essay","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
advantage,High,"Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
disadvantage,"Medium-High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
challenge,"Very High","Essay, Read Aloud, Retell Lecture","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
opportunity,"Very High","Essay, Read Aloud","author judgment: common academic/AWL-family vocabulary","Practice — not from a verified PTE frequency list"
